name,PA,S,m,human_r0_accuracy,human_r0_precision,human_r0_recall,human_r0_f1-score,human_r0_support,human_r1_accuracy,human_r1_precision,human_r1_recall,human_r1_f1-score,human_r1_support,human_r2_accuracy,human_r2_precision,human_r2_recall,human_r2_f1-score,human_r2_support,agg_human_mean_f1-score,agg_human_std_f1-score,agg_human_mean_precision,agg_human_std_precision,agg_human_mean_recall,agg_human_std_recall,agg_human_mean_accuracy,agg_human_std_accuracy,model_accuracy,model_precision,model_recall,model_f1-score,model_support,agg_human - model_mean_f1-score,agg_human_mean_f1-score_fmt,agg_human - model_mean_precision,agg_human_mean_precision_fmt,agg_human - model_mean_recall,agg_human_mean_recall_fmt,agg_human - model_mean_accuracy,agg_human_mean_accuracy_fmt
Consolidation,1.0,330,0.003,0.97,0.0,0.0,0.0,1.0,0.98,0.17,1.0,0.29,1.0,0.99,0.25,1.0,0.4,1.0,0.22999999999999998,0.20663978319771825,0.14,0.12767145334803706,0.6666666666666666,0.5773502691896258,0.98,0.010000000000000009,0.67,0.0,0.0,0.0,1.0,0.22999999999999998,0.23$\pm$0.21,0.14,0.14$\pm$0.13,0.6666666666666666,0.67$\pm$0.58,0.30999999999999994,0.98$\pm$0.01
Consolidation,All,500,0.058,0.88,0.27,0.66,0.38,29.0,0.89,0.25,0.48,0.33,29.0,0.94,0.45,0.45,0.45,29.0,0.38666666666666666,0.06027713773341708,0.3233333333333333,0.11015141094572205,0.53,0.1135781669160055,0.9033333333333333,0.032145502536643146,0.56,0.1,0.79,0.17,29.0,0.21666666666666665,0.39$\pm$0.06,0.2233333333333333,0.32$\pm$0.11,-0.26,0.53$\pm$0.11,0.34333333333333327,0.90$\pm$0.03
Edema,0.6,76,0.355,0.68,0.57,0.48,0.52,27.0,0.51,0.4,0.7,0.51,27.0,0.62,0.46,0.48,0.47,27.0,0.5,0.02645751311064593,0.4766666666666666,0.08621678104251705,0.5533333333333333,0.12701705922171766,0.6033333333333334,0.08621678104251711,0.39,0.37,1.0,0.54,27.0,-0.040000000000000036,0.50$\pm$0.03,0.10666666666666663,0.48$\pm$0.09,-0.44666666666666666,0.55$\pm$0.13,0.21333333333333337,0.60$\pm$0.09
Edema,0.8,116,0.233,0.81,0.57,0.74,0.65,27.0,0.68,0.4,0.74,0.52,27.0,0.79,0.56,0.52,0.54,27.0,0.57,0.06999999999999999,0.51,0.09539392014169455,0.6666666666666666,0.12701705922171766,0.7600000000000001,0.06999999999999999,0.33,0.26,1.0,0.41,27.0,0.15999999999999998,0.57$\pm$0.07,0.25,0.51$\pm$0.10,-0.33333333333333337,0.67$\pm$0.13,0.4300000000000001,0.76$\pm$0.07
Edema,1.0,308,0.078,0.94,0.59,0.67,0.63,24.0,0.93,0.53,0.96,0.69,24.0,0.96,0.78,0.75,0.77,24.0,0.6966666666666667,0.07023769168568493,0.6333333333333334,0.13051181300301262,0.7933333333333333,0.14977761292440644,0.9433333333333334,0.015275252316519432,0.5,0.13,1.0,0.24,24.0,0.45666666666666667,0.70$\pm$0.07,0.5033333333333334,0.63$\pm$0.13,-0.20666666666666667,0.79$\pm$0.15,0.44333333333333336,0.94$\pm$0.02
Edema,All,500,0.156,0.87,0.58,0.63,0.6,78.0,0.81,0.44,0.79,0.57,78.0,0.87,0.59,0.58,0.58,78.0,0.5833333333333334,0.01527525231651948,0.5366666666666666,0.08386497083606081,0.6666666666666666,0.10969655114602893,0.8500000000000001,0.03464101615137751,0.44,0.22,1.0,0.36,78.0,0.22333333333333338,0.58$\pm$0.02,0.31666666666666665,0.54$\pm$0.08,-0.33333333333333337,0.67$\pm$0.11,0.4100000000000001,0.85$\pm$0.03
Enlarged Cardiomediastinum,0.6,163,0.417,0.68,0.69,0.43,0.53,68.0,0.65,0.59,0.53,0.56,68.0,0.65,0.67,0.32,0.44,68.0,0.51,0.06244997998398401,0.6499999999999999,0.05291502622129182,0.4266666666666667,0.10503967504392488,0.66,0.017320508075688787,0.56,0.48,0.87,0.62,68.0,-0.10999999999999999,0.51$\pm$0.06,0.16999999999999993,0.65$\pm$0.05,-0.4433333333333333,0.43$\pm$0.11,0.09999999999999998,0.66$\pm$0.02
Enlarged Cardiomediastinum,0.8,170,0.529,0.79,0.98,0.62,0.76,90.0,0.79,0.89,0.7,0.78,90.0,0.75,0.96,0.54,0.7,90.0,0.7466666666666667,0.04163331998932269,0.9433333333333334,0.047258156262526066,0.62,0.07999999999999996,0.7766666666666667,0.023094010767585053,0.74,0.68,0.94,0.79,90.0,-0.043333333333333335,0.75$\pm$0.04,0.2633333333333333,0.94$\pm$0.05,-0.31999999999999995,0.62$\pm$0.08,0.036666666666666736,0.78$\pm$0.02
Enlarged Cardiomediastinum,1.0,167,0.569,0.91,0.99,0.85,0.92,95.0,0.94,0.99,0.91,0.95,95.0,0.89,0.99,0.82,0.9,95.0,0.9233333333333333,0.025166114784235794,0.9899999999999999,1.3597399555105182e-16,0.86,0.04582575694955844,0.9133333333333334,0.025166114784235794,0.86,0.81,0.99,0.89,95.0,0.033333333333333326,0.92$\pm$0.03,0.17999999999999983,0.99$\pm$0.00,-0.13,0.86$\pm$0.05,0.053333333333333455,0.91$\pm$0.03
Enlarged Cardiomediastinum,All,500,0.506,0.8,0.92,0.66,0.76,253.0,0.8,0.84,0.73,0.78,253.0,0.76,0.91,0.59,0.72,253.0,0.7533333333333333,0.03055050463303896,0.89,0.043588989435406775,0.66,0.07,0.7866666666666667,0.023094010767585053,0.72,0.66,0.94,0.77,253.0,-0.01666666666666672,0.75$\pm$0.03,0.22999999999999998,0.89$\pm$0.04,-0.2799999999999999,0.66$\pm$0.07,0.06666666666666676,0.79$\pm$0.02
