name,PA,S,m,human_r0_accuracy,human_r0_precision,human_r0_recall,human_r0_f1-score,human_r0_support,human_r1_accuracy,human_r1_precision,human_r1_recall,human_r1_f1-score,human_r1_support,human_r2_accuracy,human_r2_precision,human_r2_recall,human_r2_f1-score,human_r2_support,agg_human_mean_f1-score,agg_human_std_f1-score,agg_human_mean_precision,agg_human_std_precision,agg_human_mean_recall,agg_human_std_recall,agg_human_mean_accuracy,agg_human_std_accuracy,model_accuracy,model_precision,model_recall,model_f1-score,model_support,agg_human - model_mean_f1-score,agg_human_mean_f1-score_fmt,agg_human - model_mean_precision,agg_human_mean_precision_fmt,agg_human - model_mean_recall,agg_human_mean_recall_fmt,agg_human - model_mean_accuracy,agg_human_mean_accuracy_fmt
Pleural Effusion,0.8,110,0.336,0.89,0.84,0.84,0.84,37.0,0.75,0.58,0.92,0.71,37.0,0.83,0.67,0.97,0.79,37.0,0.7799999999999999,0.06557438524302002,0.6966666666666667,0.13203534880225573,0.91,0.06557438524302002,0.8233333333333334,0.07023769168568493,0.65,0.49,0.86,0.63,37.0,0.1499999999999999,0.78$\pm$0.07,0.20666666666666667,0.70$\pm$0.13,0.050000000000000044,0.91$\pm$0.07,0.17333333333333334,0.82$\pm$0.07
Pleural Effusion,1.0,307,0.104,0.98,0.91,0.91,0.91,32.0,0.94,0.64,0.91,0.75,32.0,0.95,0.7,1.0,0.82,32.0,0.8266666666666667,0.08020806277010645,0.75,0.14177446878757827,0.9400000000000001,0.0519615242270663,0.9566666666666667,0.020816659994661344,0.85,0.4,0.84,0.55,32.0,0.2766666666666666,0.83$\pm$0.08,0.35,0.75$\pm$0.14,0.10000000000000009,0.94$\pm$0.05,0.10666666666666669,0.96$\pm$0.02
Pleural Effusion,All,500,0.208,0.92,0.8,0.82,0.81,104.0,0.83,0.55,0.83,0.66,104.0,0.87,0.63,0.89,0.74,104.0,0.7366666666666667,0.07505553499465135,0.66,0.12767145334803706,0.8466666666666667,0.03785938897200186,0.8733333333333334,0.045092497528228984,0.74,0.43,0.8,0.56,104.0,0.17666666666666664,0.74$\pm$0.08,0.23000000000000004,0.66$\pm$0.13,0.046666666666666634,0.85$\pm$0.04,0.13333333333333341,0.87$\pm$0.05
Pneumonia,0.6,24,0.333,0.5,0.17,0.12,0.14,8.0,0.71,1.0,0.12,0.22,8.0,0.58,0.33,0.25,0.29,8.0,0.21666666666666665,0.07505553499465133,0.5,0.44034077712607994,0.16333333333333333,0.07505553499465135,0.5966666666666667,0.10598742063723096,0.33,0.3,0.75,0.43,8.0,-0.21333333333333335,0.22$\pm$0.08,0.2,0.50$\pm$0.44,-0.5866666666666667,0.16$\pm$0.08,0.26666666666666666,0.60$\pm$0.11
Pneumonia,0.8,82,0.012,0.9,0.11,1.0,0.2,1.0,0.98,0.33,1.0,0.5,1.0,0.9,0.11,1.0,0.2,1.0,0.3,0.17320508075688773,0.18333333333333335,0.1270170592217177,1.0,0.0,0.9266666666666666,0.046188021535170036,0.26,0.02,1.0,0.03,1.0,0.27,0.30$\pm$0.17,0.16333333333333336,0.18$\pm$0.13,0.0,1.00$\pm$0.00,0.6666666666666666,0.93$\pm$0.05
Pneumonia,1.0,394,0.005,0.98,0.12,0.5,0.2,2.0,0.99,0.5,1.0,0.67,2.0,0.97,0.08,0.5,0.14,2.0,0.3366666666666667,0.2902297940138699,0.2333333333333333,0.2318045153428495,0.6666666666666666,0.28867513459481287,0.98,0.010000000000000009,0.67,0.01,0.5,0.02,2.0,0.3166666666666667,0.34$\pm$0.29,0.2233333333333333,0.23$\pm$0.23,0.16666666666666663,0.67$\pm$0.29,0.30999999999999994,0.98$\pm$0.01
Pneumonia,All,500,0.022,0.94,0.13,0.27,0.18,11.0,0.98,0.5,0.36,0.42,11.0,0.94,0.15,0.36,0.21,11.0,0.26999999999999996,0.1307669683062202,0.26,0.2080865204668481,0.33,0.0519615242270663,0.9533333333333333,0.023094010767585053,0.59,0.04,0.73,0.07,11.0,0.19999999999999996,0.27$\pm$0.13,0.22,0.26$\pm$0.21,-0.39999999999999997,0.33$\pm$0.05,0.3633333333333333,0.95$\pm$0.02
Support Devices,0.6,50,0.580,0.62,0.61,0.97,0.75,29.0,0.68,0.81,0.59,0.68,29.0,0.72,0.83,0.66,0.73,29.0,0.7200000000000001,0.03605551275463986,0.75,0.1216552506059644,0.7400000000000001,0.20223748416156684,0.6733333333333333,0.05033222956847166,0.6,0.59,1.0,0.74,29.0,-0.019999999999999907,0.72$\pm$0.04,0.16000000000000003,0.75$\pm$0.12,-0.2599999999999999,0.74$\pm$0.20,0.07333333333333336,0.67$\pm$0.05
Support Devices,0.8,105,0.705,0.9,0.9,0.97,0.94,74.0,0.89,0.97,0.86,0.91,74.0,0.92,0.97,0.92,0.94,74.0,0.93,0.017320508075688724,0.9466666666666667,0.040414518843273774,0.9166666666666666,0.05507570547286102,0.9033333333333333,0.01527525231651948,0.76,0.76,0.96,0.85,74.0,0.08000000000000007,0.93$\pm$0.02,0.18666666666666665,0.95$\pm$0.04,-0.043333333333333335,0.92$\pm$0.06,0.1433333333333333,0.90$\pm$0.02
Support Devices,1.0,345,0.458,0.98,0.96,0.99,0.98,158.0,0.98,1.0,0.96,0.98,158.0,0.98,1.0,0.96,0.98,158.0,0.98,0.0,0.9866666666666667,0.023094010767585053,0.9700000000000001,0.01732050807568879,0.98,0.0,0.72,0.63,0.96,0.76,158.0,0.21999999999999997,0.98$\pm$0.00,0.3566666666666667,0.99$\pm$0.02,0.01000000000000012,0.97$\pm$0.02,0.26,0.98$\pm$0.00
Support Devices,All,500,0.522,0.93,0.89,0.98,0.93,261.0,0.93,0.97,0.89,0.93,261.0,0.94,0.98,0.92,0.94,261.0,0.9333333333333332,0.005773502691896198,0.9466666666666667,0.04932882862316246,0.93,0.04582575694955838,0.9333333333333332,0.005773502691896198,0.72,0.66,0.96,0.78,261.0,0.1533333333333332,0.93$\pm$0.01,0.2866666666666666,0.95$\pm$0.05,-0.029999999999999916,0.93$\pm$0.05,0.21333333333333326,0.93$\pm$0.01
