name,PA,S,m,human_r0_accuracy,human_r0_e_accuracy,human_r0_precision,human_r0_e_precision,human_r0_recall,human_r0_e_recall,human_r0_f1-score,human_r0_e_f1-score,human_r0_support,human_r1_accuracy,human_r1_e_accuracy,human_r1_precision,human_r1_e_precision,human_r1_recall,human_r1_e_recall,human_r1_f1-score,human_r1_e_f1-score,human_r1_support,human_r2_accuracy,human_r2_e_accuracy,human_r2_precision,human_r2_e_precision,human_r2_recall,human_r2_e_recall,human_r2_f1-score,human_r2_e_f1-score,human_r2_support,agg_human_mean_f1-score,agg_human_std_f1-score,agg_human_mean_precision,agg_human_std_precision,agg_human_mean_recall,agg_human_std_recall,agg_human_mean_accuracy,agg_human_std_accuracy,model_accuracy,model_e_accuracy,model_precision,model_e_precision,model_recall,model_e_recall,model_f1-score,model_e_f1-score,model_support,agg_human - model_mean_f1-score,agg_human_mean_f1-score_fmt,E - agg_human_f1-score,E - model_f1-score,agg_human - model_mean_accuracy,agg_human_mean_accuracy_fmt,E - agg_human_accuracy,E - model_accuracy
Consolidation,All,500,0.058,0.88,0.88,0.27,0.27,0.66,0.65,0.38,0.39,29.0,0.89,0.88,0.25,0.27,0.48,0.65,0.33,0.39,29.0,0.94,0.88,0.45,0.27,0.45,0.65,0.45,0.39,29.0,0.38666666666666666,0.06027713773341708,0.3233333333333333,0.11015141094572205,0.53,0.1135781669160055,0.9033333333333333,0.032145502536643146,0.9,0.88,0.24,0.27,0.34,0.65,0.29,0.39,29.0,0.09666666666666668,0.39$\pm$0.06,0.003333333333333355,0.10000000000000003,0.0033333333333332993,0.90$\pm$0.03,-0.023333333333333317,-0.020000000000000018
Edema,0.6,76,0.355,0.68,0.6,0.57,0.45,0.48,0.6,0.52,0.52,27.0,0.51,0.6,0.4,0.45,0.7,0.6,0.51,0.52,27.0,0.62,0.6,0.46,0.45,0.48,0.6,0.47,0.52,27.0,0.5,0.02645751311064593,0.4766666666666666,0.08621678104251705,0.5533333333333333,0.12701705922171766,0.6033333333333334,0.08621678104251711,0.62,0.6,0.47,0.45,0.52,0.6,0.49,0.52,27.0,0.010000000000000009,0.50$\pm$0.03,0.020000000000000018,0.030000000000000027,-0.016666666666666607,0.60$\pm$0.09,-0.0033333333333334103,-0.020000000000000018
Edema,0.8,116,0.233,0.81,0.8,0.57,0.55,0.74,0.8,0.65,0.65,27.0,0.68,0.8,0.4,0.55,0.74,0.8,0.52,0.65,27.0,0.79,0.8,0.56,0.55,0.52,0.8,0.54,0.65,27.0,0.57,0.06999999999999999,0.51,0.09539392014169455,0.6666666666666666,0.12701705922171766,0.7600000000000001,0.06999999999999999,0.69,0.8,0.36,0.55,0.44,0.8,0.4,0.65,27.0,0.16999999999999993,0.57$\pm$0.07,0.08000000000000007,0.25,0.07000000000000017,0.76$\pm$0.07,0.039999999999999925,0.1100000000000001
Edema,1.0,308,0.078,0.94,0.97,0.59,0.73,0.67,0.97,0.63,0.83,24.0,0.93,0.97,0.53,0.73,0.96,0.97,0.69,0.83,24.0,0.96,0.97,0.78,0.73,0.75,0.97,0.77,0.83,24.0,0.6966666666666667,0.07023769168568493,0.6333333333333334,0.13051181300301262,0.7933333333333333,0.14977761292440644,0.9433333333333334,0.015275252316519432,0.93,0.97,0.54,0.73,0.62,0.97,0.58,0.83,24.0,0.1166666666666667,0.70$\pm$0.07,0.1333333333333333,0.25,0.013333333333333308,0.94$\pm$0.02,0.026666666666666616,0.039999999999999925
Edema,All,500,0.156,0.87,0.87,0.58,0.57,0.63,0.78,0.6,0.66,78.0,0.81,0.87,0.44,0.57,0.79,0.78,0.57,0.66,78.0,0.87,0.87,0.59,0.57,0.58,0.78,0.58,0.66,78.0,0.5833333333333334,0.01527525231651948,0.5366666666666666,0.08386497083606081,0.6666666666666666,0.10969655114602893,0.8500000000000001,0.03464101615137751,0.83,0.87,0.45,0.57,0.53,0.78,0.49,0.66,78.0,0.09333333333333338,0.58$\pm$0.02,0.07666666666666666,0.17000000000000004,0.02000000000000013,0.85$\pm$0.03,0.019999999999999907,0.040000000000000036
Enlarged Cardiomediastinum,0.6,163,0.417,0.68,0.6,0.69,0.52,0.43,0.6,0.53,0.56,68.0,0.65,0.6,0.59,0.52,0.53,0.6,0.56,0.56,68.0,0.65,0.6,0.67,0.52,0.32,0.6,0.44,0.56,68.0,0.51,0.06244997998398401,0.6499999999999999,0.05291502622129182,0.4266666666666667,0.10503967504392488,0.66,0.017320508075688787,0.59,0.6,0.6,0.52,0.04,0.6,0.08,0.56,68.0,0.43,0.51$\pm$0.06,0.050000000000000044,0.48000000000000004,0.07000000000000006,0.66$\pm$0.02,-0.06000000000000005,0.010000000000000009
Enlarged Cardiomediastinum,0.8,170,0.529,0.79,0.8,0.98,0.82,0.62,0.8,0.76,0.81,90.0,0.79,0.8,0.89,0.82,0.7,0.8,0.78,0.81,90.0,0.75,0.8,0.96,0.82,0.54,0.8,0.7,0.81,90.0,0.7466666666666667,0.04163331998932269,0.9433333333333334,0.047258156262526066,0.62,0.07999999999999996,0.7766666666666667,0.023094010767585053,0.53,0.8,0.92,0.82,0.12,0.8,0.22,0.81,90.0,0.5266666666666667,0.75$\pm$0.04,0.06333333333333335,0.5900000000000001,0.2466666666666667,0.78$\pm$0.02,0.023333333333333317,0.27
Enlarged Cardiomediastinum,1.0,167,0.569,0.91,0.97,0.99,0.98,0.85,0.97,0.92,0.97,95.0,0.94,0.97,0.99,0.98,0.91,0.97,0.95,0.97,95.0,0.89,0.97,0.99,0.98,0.82,0.97,0.9,0.97,95.0,0.9233333333333333,0.025166114784235794,0.9899999999999999,1.3597399555105182e-16,0.86,0.04582575694955844,0.9133333333333334,0.025166114784235794,0.53,0.97,1.0,0.98,0.17,0.97,0.29,0.97,95.0,0.6333333333333333,0.92$\pm$0.03,0.046666666666666634,0.6799999999999999,0.3833333333333334,0.91$\pm$0.03,0.05666666666666653,0.43999999999999995
Enlarged Cardiomediastinum,All,500,0.506,0.8,0.79,0.92,0.78,0.66,0.81,0.76,0.8,253.0,0.8,0.79,0.84,0.78,0.73,0.81,0.78,0.8,253.0,0.76,0.79,0.91,0.78,0.59,0.81,0.72,0.8,253.0,0.7533333333333333,0.03055050463303896,0.89,0.043588989435406775,0.66,0.07,0.7866666666666667,0.023094010767585053,0.55,0.79,0.91,0.78,0.12,0.81,0.21,0.8,253.0,0.5433333333333333,0.75$\pm$0.03,0.046666666666666745,0.5900000000000001,0.2366666666666667,0.79$\pm$0.02,0.0033333333333332993,0.24
Lung Opacity,0.6,106,0.519,0.59,0.6,0.65,0.62,0.47,0.6,0.55,0.61,55.0,0.64,0.6,0.64,0.62,0.69,0.6,0.67,0.61,55.0,0.63,0.6,0.63,0.62,0.69,0.6,0.66,0.61,55.0,0.6266666666666668,0.06658328118479392,0.64,0.010000000000000009,0.6166666666666666,0.12701705922171766,0.62,0.026457513110645932,0.57,0.6,0.59,0.62,0.55,0.6,0.57,0.61,55.0,0.056666666666666865,0.63$\pm$0.07,-0.01666666666666683,0.040000000000000036,0.050000000000000044,0.62$\pm$0.03,-0.020000000000000018,0.030000000000000027
